employee_id,login,logout
1,2025-07-21 09:41:00,2025-07-21 18:26:00
1,2025-07-22 08:41:00,2025-07-22 18:11:00
1,2025-07-23 10:56:00,2025-07-23 19:16:00
1,2025-07-24 08:02:00,2025-07-24 18:05:00
1,2025-07-25 08:18:00,2025-07-25 18:25:00
1,2025-07-26 08:26:00,2025-07-26 18:37:00
1,2025-07-27 10:31:00,2025-07-27 18:55:00
2,2025-07-21 08:07:00,2025-07-21 18:13:00
2,2025-07-22 10:45:00,2025-07-22 19:09:00
2,2025-07-23 08:20:00,2025-07-23 17:13:00
2,2025-07-24 08:03:00,2025-07-24 18:14:00
2,2025-07-25 09:36:00,2025-07-25 17:27:00
2,2025-07-26 09:50:00,2025-07-26 18:56:00
2,2025-07-27 10:36:00,2025-07-27 19:47:00
3,2025-07-21 10:45:00,2025-07-21 17:12:00
3,2025-07-22 08:13:00,2025-07-22 17:53:00
3,2025-07-23 09:44:00,2025-07-23 17:04:00
3,2025-07-24 10:22:00,2025-07-24 18:45:00
3,2025-07-25 08:38:00,2025-07-25 18:15:00
3,2025-07-26 09:48:00,2025-07-26 18:22:00
3,2025-07-27 10:32:00,2025-07-27 19:04:00
4,2025-07-21 09:55:00,2025-07-21 19:39:00
4,2025-07-22 09:43:00,2025-07-22 17:00:00
4,2025-07-23 09:38:00,2025-07-23 18:26:00
4,2025-07-24 08:01:00,2025-07-24 17:38:00
4,2025-07-25 10:38:00,2025-07-25 19:00:00
4,2025-07-26 08:44:00,2025-07-26 19:26:00
4,2025-07-27 09:18:00,2025-07-27 17:27:00
5,2025-07-21 08:36:00,2025-07-21 17:12:00
5,2025-07-22 09:30:00,2025-07-22 19:25:00
5,2025-07-23 09:33:00,2025-07-23 18:54:00
5,2025-07-24 10:40:00,2025-07-24 17:58:00
5,2025-07-25 08:31:00,2025-07-25 18:15:00
5,2025-07-26 09:57:00,2025-07-26 17:46:00
5,2025-07-27 10:07:00,2025-07-27 18:38:00
6,2025-07-21 10:15:00,2025-07-21 19:37:00
6,2025-07-22 10:42:00,2025-07-22 19:03:00
6,2025-07-23 10:27:00,2025-07-23 18:05:00
6,2025-07-24 10:17:00,2025-07-24 17:35:00
6,2025-07-25 10:50:00,2025-07-25 18:38:00
6,2025-07-26 10:51:00,2025-07-26 17:44:00
6,2025-07-27 09:27:00,2025-07-27 19:11:00
7,2025-07-21 10:07:00,2025-07-21 17:17:00
7,2025-07-22 09:52:00,2025-07-22 19:17:00
7,2025-07-23 08:22:00,2025-07-23 19:05:00
7,2025-07-24 09:26:00,2025-07-24 18:50:00
7,2025-07-25 08:17:00,2025-07-25 17:40:00
7,2025-07-26 08:50:00,2025-07-26 19:48:00
7,2025-07-27 10:58:00,2025-07-27 18:37:00
8,2025-07-21 09:44:00,2025-07-21 18:16:00
8,2025-07-22 10:25:00,2025-07-22 17:58:00
8,2025-07-23 09:12:00,2025-07-23 18:22:00
8,2025-07-24 08:40:00,2025-07-24 19:41:00
8,2025-07-25 09:41:00,2025-07-25 17:03:00
8,2025-07-26 10:18:00,2025-07-26 18:24:00
8,2025-07-27 08:23:00,2025-07-27 17:44:00
9,2025-07-21 10:35:00,2025-07-21 18:43:00
9,2025-07-22 09:15:00,2025-07-22 19:27:00
9,2025-07-23 09:23:00,2025-07-23 17:44:00
9,2025-07-24 10:36:00,2025-07-24 17:24:00
9,2025-07-25 09:56:00,2025-07-25 17:24:00
9,2025-07-26 08:05:00,2025-07-26 18:26:00
9,2025-07-27 09:49:00,2025-07-27 18:29:00
10,2025-07-21 08:42:00,2025-07-21 19:33:00
10,2025-07-22 10:31:00,2025-07-22 17:52:00
10,2025-07-23 10:08:00,2025-07-23 17:22:00
10,2025-07-24 09:14:00,2025-07-24 17:14:00
10,2025-07-25 09:36:00,2025-07-25 18:43:00
10,2025-07-26 09:59:00,2025-07-26 19:41:00
10,2025-07-27 10:41:00,2025-07-27 19:29:00
